3675739a6c12e564	Starbucks	data engineer sr	Hybrid remote in Seattle, WA 98134	DE	SENIOR_LEVEL	$106,700 - $188,000 a year
b6a84858b32c7b68	HII	Data Engineer 5 (Engineer Database 5)	Tampa, FL	DE	SENIOR_LEVEL	$127,273 - $175,000 a year
b7a9cbbfd18e29dd	Hilton Grand Vacations	Senior Data Engineer - Remote	Orlando, FL	DE	SENIOR_LEVEL	Estimated $92.4K - $117K a year
254786dc47240a1e	Fidelity Investments	Senior Data Engineer (Informatica / Python)	Durham, NC 27709	DE	SENIOR_LEVEL	Estimated $88K - $111K a year
96f0060fa85ff857	T-Mobile	Sr. Data Engineer	Bellevue, WA 98006 (Factoria area)	DE	SENIOR_LEVEL	$136,600 - $184,900 a year
c2f39e3da9784474	Coupang	Senior Staff Data Engineer (Data Platform)	Seattle, WA 98101 (Denny Triangle area)	DE	SENIOR_LEVEL	From $170,100 a year
485dd93266efef68	CGI Group, Inc.	Sr. Python/AWS Data Engineer - Remote	Remote in Columbia, NC 27925	DE	SENIOR_LEVEL	Estimated $116K - $146K a year
b0b46dc3643866b3	Business Transformation Institute	BTI01 Sr. Software Engineer/Data Scientist	Columbia, MD 21044	DE	SENIOR_LEVEL	Estimated $158K - $201K a year
fa2ccc4570c8f4ac	Amazon Data Services, Inc.	Electrical Design Engineer, Data Center Design Engineering	Seattle, WA	DE	SENIOR_LEVEL	From $93,500 a year
f4925e31597a1564	Certec Consulting	Senior Data Solution and Delivery Engineer 1599	Brooklyn, NY	DE	SENIOR_LEVEL	NA
83e398178db4d165	Vuori, Inc	Senior Engineer, Data Management	Carlsbad, CA 92008	DE	SENIOR_LEVEL	$136,000 - $160,000 a year
eeff61a0b6b72ef9	3Pillar Global	Sr Data Engineer - Test	Remote in United States	DE	SENIOR_LEVEL	Estimated $116K - $146K a year
0d4ae31690c89717	3Pillar Global	Sr Data Engineer - Test	Remote in United States	DE	SENIOR_LEVEL	Estimated $116K - $146K a year
044023b1bc28afea	Vuori, Inc	Senior Engineer - Data Management & MDM	Carlsbad, CA 92008	DE	SENIOR_LEVEL	$136,000 - $160,000 a year
56e3c3eda09c23ed	Plaxonic Technologies	Big Data Engineer	Atlanta, GA	DE	SENIOR_LEVEL	NA
b7ec791729a796cd	Air Products	Senior Data Engineer	Hybrid remote in Allentown, PA	DE	SENIOR_LEVEL	Estimated $112K - $142K a year
3d401027a4a4fbce	Amazon.com Services LLC	Sr. Software Development Engineer, Kinesis Data Streams	Seattle, WA	DE	SENIOR_LEVEL	From $134,500 a year
211dfb0abf2f45a4	Cognizant Technology Solutions	Senior Data Engineer: Java / Flink – REMOTE Position	Remote in Irving, TX	DE	SENIOR_LEVEL	Estimated $107K - $135K a year
131721ccdb980e21	SpaceX	Sr. Application Software Engineer, Data (Top Secret Clearance)	Hawthorne, CA	DE	SENIOR_LEVEL	$160,000 - $220,000 a year
ede6b634b5934f5d	U.S. Bank National Association	Senior Data Center Engineer - Facilities Engineer	Olathe, KS 66062	DE	SENIOR_LEVEL	$27.45 - $40.25 an hour
a201eb002293543d	Afterpay	Senior Software Engineer, Orders Data Platform	Atlanta, GA	DE	SENIOR_LEVEL	Estimated $172K - $217K a year
39fe211a817b56ea	Apple	AIML - Senior Software Engineer, Data & ML Innovation	Seattle, WA	DE	SENIOR_LEVEL	NA
c90f771404792bb7	ASRC Federal Holding Company	Data Engineer - ETL Developer (Hybrid)	Beltsville, MD 20705	DE	SENIOR_LEVEL	Estimated $107K - $136K a year
